tick,v0,g0,v1,g1,v2,g2,v3,g3,spikes
58,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-75.12101572886310,-25.93058828195297,-52.00000000000000,0.00000000000000,0000
59,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-75.14387086022556,-24.91383537230740,-52.00000000000000,0.00000000000000,0000
60,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-75.15658171545005,-23.93694991449254,-52.00000000000000,0.00000000000000,0000
61,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-75.15963807756134,-22.99836868336254,-52.00000000000000,0.00000000000000,0000
62,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-75.15350960930014,-22.09658974870625,-52.00000000000000,0.00000000000000,0000
63,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-75.13864665116128,-21.23017007183845,-52.00000000000000,0.00000000000000,0000
64,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-75.11548098804968,-20.39772319643010,-52.00000000000000,0.00000000000000,0000
65,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-75.08442658578556,-19.59791702988241,-52.00000000000000,0.00000000000000,0000
66,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-75.04588029864206,-18.82947171169448,-52.00000000000000,0.00000000000000,0000
67,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-75.00022254905191,-18.09115756541348,-52.00000000000000,0.00000000000000,0000
68,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-74.94781798057528,-17.38179313088992,-52.00000000000000,0.00000000000000,0000
69,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-74.88901608517824,-16.70024327368943,-52.00000000000000,0.00000000000000,0000
70,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-74.82415180582991,-16.04541736863543,-52.00000000000000,0.00000000000000,0000
71,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-74.75354611538680,-15.41626755457618,-52.00000000000000,0.00000000000000,0000
72,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-74.67750657269519,-14.81178705758341,-52.00000000000000,0.00000000000000,0000
73,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-74.59632785680566,-14.23100857989920,-52.00000000000000,0.00000000000000,0000
74,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-74.51029228015845,-13.67300275205325,-52.00000000000000,0.00000000000000,0000
75,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-74.41967028156567,-13.13687664567342,-52.00000000000000,0.00000000000000,0000
76,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-74.32472089978275,-12.62177234460981,-52.00000000000000,0.00000000000000,0000
77,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-74.22569222843143,-12.12686557208597,-52.00000000000000,0.00000000000000,0000
78,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-74.12282185300609,-11.65136437168009,-52.00000000000000,0.00000000000000,0000
79,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-74.01633727066680,-11.19450784002588,-52.00000000000000,0.00000000000000,0000
80,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-73.90645629349481,-10.75556490920475,-52.00000000000000,0.00000000000000,0000
81,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-73.79338743585973,-10.33383317688124,-52.00000000000000,0.00000000000000,1000
82,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-73.67733028652198,-9.92863778230939,-52.00000000000000,0.00000000000000,0000
83,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-73.55847586607007,-9.53933032641161,-52.00000000000000,0.00000000000000,0000
84,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-73.43700697026827,-9.16528783420176,-52.00000000000000,0.00000000000000,0000
85,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-73.31309849986799,-8.80591175789232,-52.00000000000000,0.00000000000000,0000
